what,kind,bundleId,bundleVersion,description,time
activated,perspective,org.eclipse.jdt.ui,,"org.eclipse.jdt.ui.JavaPerspective",1291657754500
started,bundle,org.eclipse.osgi,3.6.1.R36x_v20100806,"org.eclipse.osgi",1291657754501
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,"org.eclipse.equinox.simpleconfigurator",1291657754502
started,bundle,com.ibm.icu,4.2.1.v20100412,"com.ibm.icu",1291657754502
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,"org.eclipse.core.contenttype",1291657754502
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,"org.eclipse.core.databinding.observable",1291657754503
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,"org.eclipse.core.expressions",1291657754503
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,"org.eclipse.core.filebuffers",1291657754504
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,"org.eclipse.core.filesystem",1291657754505
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,"org.eclipse.core.jobs",1291657754505
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,"org.eclipse.core.net",1291657754505
started,bundle,org.eclipse.core.resources,3.6.0.R36x_v20100825-0600,"org.eclipse.core.resources",1291657754506
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,"org.eclipse.core.runtime",1291657754506
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,"org.eclipse.core.runtime.compatibility",1291657754507
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,"org.eclipse.core.runtime.compatibility.auth",1291657754507
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.0.R201005261100,"org.eclipse.epp.usagedata.gathering",1291657754508
started,bundle,org.eclipse.epp.usagedata.recording,1.3.0.R201005261100,"org.eclipse.epp.usagedata.recording",1291657754508
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,"org.eclipse.equinox.app",1291657754508
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,"org.eclipse.equinox.common",1291657754509
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,"org.eclipse.equinox.ds",1291657754509
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,"org.eclipse.equinox.event",1291657754510
started,bundle,org.eclipse.equinox.p2.core,2.0.2.R36x_v20100804,"org.eclipse.equinox.p2.core",1291657754510
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.202.R36x_v20100727,"org.eclipse.equinox.p2.directorywatcher",1291657754511
started,bundle,org.eclipse.equinox.p2.engine,2.0.0.v20100606,"org.eclipse.equinox.p2.engine",1291657754511
started,bundle,org.eclipse.equinox.p2.metadata,2.0.0.v20100601,"org.eclipse.equinox.p2.metadata",1291657754512
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,"org.eclipse.equinox.p2.metadata.repository",1291657754512
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,"org.eclipse.equinox.p2.operations",1291657754513
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.0.v20100525,"org.eclipse.equinox.p2.reconciler.dropins",1291657754513
started,bundle,org.eclipse.equinox.p2.repository,2.0.1.R36x_v20100823,"org.eclipse.equinox.p2.repository",1291657754514
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,"org.eclipse.equinox.p2.ui.sdk.scheduler",1291657754514
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,"org.eclipse.equinox.p2.updatechecker",1291657754515
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,"org.eclipse.equinox.preferences",1291657754515
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,"org.eclipse.equinox.registry",1291657754516
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,"org.eclipse.equinox.security",1291657754516
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,"org.eclipse.equinox.util",1291657754517
started,bundle,org.eclipse.help,3.5.0.v20100524,"org.eclipse.help",1291657754517
started,bundle,org.eclipse.jdt.core,3.6.1.v_A68_R36x,"org.eclipse.jdt.core",1291657754518
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,"org.eclipse.jdt.core.manipulation",1291657754519
started,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1291657754521
started,bundle,org.eclipse.jface,3.6.1.M20100825-0800,"org.eclipse.jface",1291657754521
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,"org.eclipse.jsch.core",1291657754522
started,bundle,org.eclipse.mylyn.bugzilla.core,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.bugzilla.core",1291657754522
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1291657754522
started,bundle,org.eclipse.mylyn.commons.net,3.4.1.v20100625-2100-e3x,"org.eclipse.mylyn.commons.net",1291657754522
started,bundle,org.eclipse.mylyn.commons.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.commons.ui",1291657754523
started,bundle,org.eclipse.mylyn.context.core,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.core",1291657754523
started,bundle,org.eclipse.mylyn.context.ui,3.4.1.v20100909-0100-e3x,"org.eclipse.mylyn.context.ui",1291657754524
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.monitor.ui",1291657754524
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.2.v20100902-0100-e3x,"org.eclipse.mylyn.tasks.ui",1291657754525
started,bundle,org.eclipse.mylyn.team.ui,3.4.2.v20100909-0100-e3x,"org.eclipse.mylyn.team.ui",1291657754525
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1291657754526
started,bundle,org.eclipse.team.core,3.5.100.R36x_v20100825-0800,"org.eclipse.team.core",1291657754526
started,bundle,org.eclipse.team.cvs.core,3.3.300.I20100526-0800,"org.eclipse.team.cvs.core",1291657754527
started,bundle,org.eclipse.team.cvs.ui,3.3.301.R36x_v20100825-0800,"org.eclipse.team.cvs.ui",1291657754527
started,bundle,org.eclipse.team.ui,3.5.101.R36x_v20100825-0800,"org.eclipse.team.ui",1291657754528
started,bundle,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui",1291657754529
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console",1291657754529
started,bundle,org.eclipse.ui.editors,3.6.1.r361_v20100825-0800,"org.eclipse.ui.editors",1291657754530
started,bundle,org.eclipse.ui.forms,3.5.2.r36_v20100702,"org.eclipse.ui.forms",1291657754530
started,bundle,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.ide",1291657754537
started,bundle,org.eclipse.ui.intro,3.4.0.v20100427,"org.eclipse.ui.intro",1291657754538
started,bundle,org.eclipse.ui.intro.universal,3.2.402.r36_v20100702,"org.eclipse.ui.intro.universal",1291657754538
started,bundle,org.eclipse.ui.net,1.2.100.I20100505-1245,"org.eclipse.ui.net",1291657754538
started,bundle,org.eclipse.ui.views,3.5.0.I20100527-0800,"org.eclipse.ui.views",1291657754539
started,bundle,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"org.eclipse.ui.workbench",1291657754540
started,bundle,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.workbench.texteditor",1291657754540
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1291657754541
started,bundle,org.eclipse.update.core,3.2.402.R36x_v20100629,"org.eclipse.update.core",1291657754542
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1291657754542
os,sysinfo,,,"win32",1291657754544
arch,sysinfo,,,"x86",1291657754544
ws,sysinfo,,,"win32",1291657754544
locale,sysinfo,,,"en_US",1291657754544
processors,sysinfo,,,"2",1291657754544
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1291657754544
java.runtime.version,sysinfo,,,"1.6.0_22-b04",1291657754544
java.specification.name,sysinfo,,,"Java Platform API Specification",1291657754544
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291657754544
java.specification.version,sysinfo,,,"1.6",1291657754544
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1291657754544
java.version,sysinfo,,,"1.6.0_22",1291657754544
java.vm.info,sysinfo,,,"mixed mode, sharing",1291657754544
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1291657754544
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1291657754544
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1291657754544
java.vm.specification.version,sysinfo,,,"1.0",1291657754544
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1291657754544
java.vm.version,sysinfo,,,"17.1-b03",1291657754544
started,bundle,com.android.ide.eclipse.ddms,8.0.0.v201011171904-77661,"com.android.ide.eclipse.ddms",1291657759266
started,bundle,com.android.ide.eclipse.adt,8.0.0.v201011171904-77661,"com.android.ide.eclipse.adt",1291657759291
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657759395
started,bundle,org.eclipse.ltk.core.refactoring,3.5.100.v20100526-0800,"org.eclipse.ltk.core.refactoring",1291657759465
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1291657759466
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657784451
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657791066
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657792963
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657797204
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657801023
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657803415
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657806530
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657812823
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657839452
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657841855
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657871702
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657877991
error,log,,,"Failed to load properties file for project 'QRCodeExample'",1291657921490
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1291657921508
started,bundle,org.eclipse.jdt.launching,3.5.100.v20100526,"org.eclipse.jdt.launching",1291657921522
started,bundle,org.eclipse.jdt.apt.core,3.3.401.R36_v20100727-0110,"org.eclipse.jdt.apt.core",1291657921658
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657921694
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1291657939205
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657939221
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657940521
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.RunLast",1291657940526
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1291657942081
activated,view,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.PackageExplorer",1291657942108
closed,view,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.internal.introview",1291657942127
started,bundle,org.eclipse.wst.sse.core,1.1.502.v201008311901,"org.eclipse.wst.sse.core",1291657944167
started,bundle,org.eclipse.wst.xml.core,1.1.502.v201009010342,"org.eclipse.wst.xml.core",1291657949286
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1291657959311
opened,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291657959368
started,bundle,org.eclipse.jdt.debug,3.6.1.v20100715_r361,"org.eclipse.jdt.debug",1291657959462
started,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1291657959502
activated,editor,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1291657959510
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291657959741
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1291657959791
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291659982729
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291659986044
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291659987600
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291659987694
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1291659987845
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1291659987903
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1291659987904
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1291659987904
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1291659987905
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1291659987906
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1291659987906
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1291659987907
stopped,bundle,com.android.ide.eclipse.adt,8.0.0.v201011171904-77661,"com.android.ide.eclipse.adt",1291659987907
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1291659987908
stopped,bundle,org.eclipse.jdt.apt.ui,3.3.300.v20100513-0845,"org.eclipse.jdt.apt.ui",1291659987908
stopped,bundle,org.eclipse.jdt.debug.ui,3.5.0.v20100602-0830,"org.eclipse.jdt.debug.ui",1291659987909
stopped,bundle,org.eclipse.jdt.ui,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.ui",1291659987973
