what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291928450945
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291928451597
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291928494902
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291928495852
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291931894033
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291931895902
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291931897579
closed,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1291931897749
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1291931898219
stopped,bundle,org.eclipse.mylyn.ide.ant,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.ide.ant",1291931898421
stopped,bundle,org.eclipse.ant.ui,3.5.0.v20100427,"org.eclipse.ant.ui",1291931898421
stopped,bundle,org.eclipse.ant.launching,1.0.0.v20100427,"org.eclipse.ant.launching",1291931898441
stopped,bundle,org.eclipse.compare.win32,1.0.100.I20100505-1245,"org.eclipse.compare.win32",1291931898454
stopped,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1291931898471
stopped,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1291931898488
stopped,bundle,org.eclipse.mylyn.java.ui,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.ui",1291931898489
stopped,bundle,com.android.ide.eclipse.adt,8.0.0.v201011171904-77661,"com.android.ide.eclipse.adt",1291931898489
stopped,bundle,org.eclipse.jdt.junit,3.6.1.r361_v20100825-0800,"org.eclipse.jdt.junit",1291931898489
